sample_id	run	format	lane	lib_type	sample_index
OCRZ020-A	231027_NB502048_0842_AHWNHKBGXT	BCL	*	GEX	SI-TT-A1
OCRZ020-B	231027_NB502048_0842_AHWNHKBGXT	BCL	*	GEX	SI-TT-A2
OCRZ020-C	231027_NB502048_0842_AHWNHKBGXT	BCL	*	GEX	SI-TT-A3
OCRZ020-D	231027_NB502048_0842_AHWNHKBGXT	BCL	*	GEX	SI-TT-A4
OCRZ020-E	231027_NB502048_0842_AHWNHKBGXT	BCL	*	GEX	SI-TT-A5
OCRZ004-A	231218_NB501183_1195_AHWTKHBGXT	BCL	*	GEX	SI-TT-A6
OCRZ004-B	231218_NB501183_1195_AHWTKHBGXT	BCL	*	GEX	SI-TT-A7
OCRZ004-C	231218_NB501183_1195_AHWTKHBGXT	BCL	*	GEX	SI-TT-A8
OCRZ020-A	240508_LH00235_0223_A227JNTLT4	BCL	4 5	GEX	SI-TT-A1
OCRZ020-B	240508_LH00235_0223_A227JNTLT4	BCL	4 5	GEX	SI-TT-A2
OCRZ020-C	240508_LH00235_0223_A227JNTLT4	BCL	4 5	GEX	SI-TT-A3
OCRZ004-A	240508_LH00235_0223_A227JNTLT4	BCL	4 5	GEX	SI-TT-A6
OCRZ004-B	240508_LH00235_0223_A227JNTLT4	BCL	4 5	GEX	SI-TT-A7
OCRZ004-C	240508_LH00235_0223_A227JNTLT4	BCL	4 5	GEX	SI-TT-A8
OCRZ003-A	240508_LH00235_0223_A227JNTLT4	BCL	4 5	GEX	SI-TT-B5
OCRZ003-B	240508_LH00235_0223_A227JNTLT4	BCL	4 5	GEX	SI-TT-B6
OCRZ003-C	240508_LH00235_0223_A227JNTLT4	BCL	4 5	GEX	SI-TT-B7
OCRZ031-D	240508_LH00235_0223_A227JNTLT4	BCL	4 5	GEX	SI-TT-B8
OCRZ031-E	240508_LH00235_0223_A227JNTLT4	BCL	4 5	GEX	SI-TT-B9
OCRZ031-F	240508_LH00235_0223_A227JNTLT4	BCL	4 5	GEX	SI-TT-B10
OCRZ033-A	240508_LH00235_0223_A227JNTLT4	BCL	4 5	GEX	SI-TT-C1
OCRZ033-B	240508_LH00235_0223_A227JNTLT4	BCL	4 5	GEX	SI-TT-C2
OCRZ033-C	240508_LH00235_0223_A227JNTLT4	BCL	4 5	GEX	SI-TT-C3
OCRZ043-D	240508_LH00235_0223_A227JNTLT4	BCL	4 5	GEX	SI-TT-C4
OCRZ043-E	240508_LH00235_0223_A227JNTLT4	BCL	4 5	GEX	SI-TT-C5
OCRZ043-F	240508_LH00235_0223_A227JNTLT4	BCL	4 5	GEX	SI-TT-C6
OCRZ045-A	240508_LH00235_0223_A227JNTLT4	BCL	4 5	GEX	SI-TT-C7
OCRZ045-B	240508_LH00235_0223_A227JNTLT4	BCL	4 5	GEX	SI-TT-C8
OCRZ045-C	240508_LH00235_0223_A227JNTLT4	BCL	4 5	GEX	SI-TT-C9
OCRZ050-D	240508_LH00235_0223_A227JNTLT4	BCL	4 5	GEX	SI-TT-C10
OCRZ050-E	240508_LH00235_0223_A227JNTLT4	BCL	4 5	GEX	SI-TT-C11
OCRZ050-F	240508_LH00235_0223_A227JNTLT4	BCL	4 5	GEX	SI-TT-C12
