	gene_symbol
A1BG	A1BG
A1BG-AS1	A1BG-AS1
A1CF	A1CF
A2M	A2M
A2M-AS1	A2M-AS1
A2MP1	A2MP1
A4GNT	A4GNT
AAAS	AAAS
AACS	AACS
AAED1	AAED1
AAGAB	AAGAB
AAK1	AAK1
AAMDC	AAMDC
AAMP	AAMP
AAR2	AAR2
AARS	AARS
AARS2	AARS2
AARSD1	AARSD1
AASDH	AASDH
AASDHPPT	AASDHPPT
AASS	AASS
AATF	AATF
AATK	AATK
AB019441.29	AB019441.29
ABAT	ABAT
ABC7-42389800N19.1	ABC7-42389800N19.1
ABCA1	ABCA1
ABCA10	ABCA10
ABCA11P	ABCA11P
ABCA13	ABCA13
ABCA2	ABCA2
ABCA3	ABCA3
ABCA5	ABCA5
ABCA6	ABCA6
ABCA7	ABCA7
ABCA8	ABCA8
ABCA9	ABCA9
ABCB1	ABCB1
ABCB10	ABCB10
ABCB11	ABCB11
ABCB4	ABCB4
ABCB7	ABCB7
ABCB8	ABCB8
ABCB9	ABCB9
ABCC1	ABCC1
ABCC10	ABCC10
ABCC11	ABCC11
ABCC13	ABCC13
ABCC2	ABCC2
ABCC3	ABCC3
ABCC4	ABCC4
ABCC5	ABCC5
ABCC6	ABCC6
ABCD1	ABCD1
ABCD2	ABCD2
ABCD3	ABCD3
ABCD4	ABCD4
ABCE1	ABCE1
ABCF1	ABCF1
ABCF2	ABCF2
ABCF2P1	ABCF2P1
ABCF3	ABCF3
ABCG1	ABCG1
ABCG2	ABCG2
ABHD10	ABHD10
ABHD11	ABHD11
ABHD12	ABHD12
ABHD12B	ABHD12B
ABHD13	ABHD13
ABHD14A	ABHD14A
ABHD14B	ABHD14B
ABHD15	ABHD15
ABHD16A	ABHD16A
ABHD17A	ABHD17A
ABHD17AP3	ABHD17AP3
ABHD17AP5	ABHD17AP5
ABHD17AP6	ABHD17AP6
ABHD17B	ABHD17B
ABHD17C	ABHD17C
ABHD2	ABHD2
ABHD3	ABHD3
ABHD4	ABHD4
ABHD5	ABHD5
ABHD6	ABHD6
ABHD8	ABHD8
ABI1	ABI1
ABI2	ABI2
ABI3	ABI3
ABI3BP	ABI3BP
ABL1	ABL1
ABL2	ABL2
ABLIM1	ABLIM1
ABR	ABR
ABRACL	ABRACL
ABT1	ABT1
ABTB1	ABTB1
ABTB2	ABTB2
AC000068.5	AC000068.5
AC000078.5	AC000078.5
AC000081.2	AC000081.2
AC000089.3	AC000089.3
AC000110.1	AC000110.1
AC000111.4	AC000111.4
AC002044.4	AC002044.4
AC002056.3	AC002056.3
AC002069.5	AC002069.5
AC002075.3	AC002075.3
AC002075.4	AC002075.4
AC002117.1	AC002117.1
AC002310.10	AC002310.10
AC002310.12	AC002310.12
AC002310.13	AC002310.13
AC002310.7	AC002310.7
AC002398.11	AC002398.11
AC002398.13	AC002398.13
AC002401.1	AC002401.1
AC002454.1	AC002454.1
AC002456.2	AC002456.2
AC002467.7	AC002467.7
AC002480.5	AC002480.5
AC002486.2	AC002486.2
AC002519.6	AC002519.6
AC002543.2	AC002543.2
AC002553.4	AC002553.4
AC003009.2	AC003009.2
AC003075.4	AC003075.4
AC003080.4	AC003080.4
AC003090.1	AC003090.1
AC003665.1	AC003665.1
AC003682.17	AC003682.17
AC003991.3	AC003991.3
AC004014.4	AC004014.4
AC004041.2	AC004041.2
AC004057.1	AC004057.1
AC004067.5	AC004067.5
AC004069.2	AC004069.2
AC004074.3	AC004074.3
AC004129.9	AC004129.9
AC004158.2	AC004158.2
AC004158.3	AC004158.3
AC004159.1	AC004159.1
AC004257.3	AC004257.3
AC004381.6	AC004381.6
AC004381.7	AC004381.7
AC004386.4	AC004386.4
AC004447.2	AC004447.2
AC004453.8	AC004453.8
AC004463.6	AC004463.6
AC004466.1	AC004466.1
AC004490.1	AC004490.1
AC004540.5	AC004540.5
AC004549.6	AC004549.6
AC004623.2	AC004623.2
