	gene_symbol
A1BG	A1BG
A2M	A2M
AAAS	AAAS
AACS	AACS
AAGAB	AAGAB
AAK1	AAK1
AAMDC	AAMDC
AAMP	AAMP
AAR2	AAR2
AARS	AARS
AARS2	AARS2
AASDH	AASDH
AASDHPPT	AASDHPPT
AASS	AASS
AATF	AATF
ABAT	ABAT
ABCA1	ABCA1
ABCA10	ABCA10
ABCA2	ABCA2
ABCA3	ABCA3
ABCA5	ABCA5
ABCA6	ABCA6
ABCA7	ABCA7
ABCB1	ABCB1
ABCB10	ABCB10
ABCB4	ABCB4
ABCB6	ABCB6
ABCB7	ABCB7
ABCB8	ABCB8
ABCC1	ABCC1
ABCC10	ABCC10
ABCC3	ABCC3
ABCC4	ABCC4
ABCC5	ABCC5
ABCC6	ABCC6
ABCD1	ABCD1
ABCD2	ABCD2
ABCD3	ABCD3
ABCD4	ABCD4
ABCE1	ABCE1
ABCF1	ABCF1
ABCF2	ABCF2
ABCF3	ABCF3
ABCG1	ABCG1
ABCG8	ABCG8
ABHD1	ABHD1
ABHD10	ABHD10
ABHD11	ABHD11
ABHD12	ABHD12
ABHD13	ABHD13
ABHD14A	ABHD14A
ABHD14A-ACY1	ABHD14A-ACY1
ABHD15	ABHD15
ABHD16A	ABHD16A
ABHD17A	ABHD17A
ABHD17B	ABHD17B
ABHD18	ABHD18
ABHD2	ABHD2
ABHD3	ABHD3
ABHD4	ABHD4
ABHD5	ABHD5
ABHD6	ABHD6
ABHD8	ABHD8
ABI1	ABI1
ABI2	ABI2
ABI3	ABI3
ABL1	ABL1
ABL2	ABL2
ABLIM1	ABLIM1
ABO	ABO
ABR	ABR
ABRACL	ABRACL
ABRAXAS1	ABRAXAS1
ABRAXAS2	ABRAXAS2
ABT1	ABT1
ABTB1	ABTB1
ACAA1	ACAA1
ACAA2	ACAA2
ACACA	ACACA
ACACB	ACACB
ACAD10	ACAD10
ACAD11	ACAD11
ACAD8	ACAD8
ACAD9	ACAD9
ACADM	ACADM
ACADS	ACADS
ACADSB	ACADSB
ACADVL	ACADVL
ACAP1	ACAP1
ACAP2	ACAP2
ACAP3	ACAP3
ACAT1	ACAT1
ACAT2	ACAT2
ACBD3	ACBD3
ACBD4	ACBD4
ACBD5	ACBD5
ACBD6	ACBD6
ACCS	ACCS
ACD	ACD
ACE	ACE
ACER2	ACER2
ACER3	ACER3
ACIN1	ACIN1
ACLY	ACLY
ACO1	ACO1
ACO2	ACO2
ACOT1	ACOT1
ACOT13	ACOT13
ACOT2	ACOT2
ACOT4	ACOT4
ACOT7	ACOT7
ACOT8	ACOT8
ACOT9	ACOT9
ACOX1	ACOX1
ACOX3	ACOX3
ACOXL	ACOXL
ACP1	ACP1
ACP2	ACP2
ACP5	ACP5
ACP6	ACP6
ACPP	ACPP
ACRBP	ACRBP
ACSF2	ACSF2
ACSF3	ACSF3
ACSL1	ACSL1
ACSL3	ACSL3
ACSL4	ACSL4
ACSL5	ACSL5
ACSM3	ACSM3
ACSS1	ACSS1
ACSS2	ACSS2
ACTA1	ACTA1
ACTA2	ACTA2
ACTB	ACTB
ACTG1	ACTG1
ACTL10	ACTL10
ACTL6A	ACTL6A
ACTN1	ACTN1
ACTN4	ACTN4
ACTR10	ACTR10
ACTR1A	ACTR1A
ACTR1B	ACTR1B
ACTR2	ACTR2
ACTR3	ACTR3
ACTR3B	ACTR3B
ACTR3C	ACTR3C
ACTR5	ACTR5
ACTR6	ACTR6
ACTR8	ACTR8
ACVR1	ACVR1
ACVR1B	ACVR1B
ACVR1C	ACVR1C
ACVR2A	ACVR2A
ACVR2B	ACVR2B
ACYP1	ACYP1
ACYP2	ACYP2
ADA	ADA
ADA2	ADA2
ADAL	ADAL
ADAM10	ADAM10
ADAM12	ADAM12
ADAM15	ADAM15
ADAM17	ADAM17
ADAM19	ADAM19
ADAM22	ADAM22
ADAM28	ADAM28
ADAM8	ADAM8
