	gene_symbol
A1BG	A1BG
A1BG-AS1	A1BG-AS1
A1CF	A1CF
A2M	A2M
A2M-AS1	A2M-AS1
A2ML1	A2ML1
A2ML1-AS1	A2ML1-AS1
A3GALT2	A3GALT2
A4GALT	A4GALT
A4GNT	A4GNT
AAAS	AAAS
AACS	AACS
AADAC	AADAC
AADACL2	AADACL2
AADACL2-AS1	AADACL2-AS1
AADACL3	AADACL3
AADACL4	AADACL4
AADAT	AADAT
AAED1	AAED1
AAGAB	AAGAB
AAK1	AAK1
AAMDC	AAMDC
AAMP	AAMP
AANAT	AANAT
AAR2	AAR2
AARD	AARD
AARS	AARS
AARS2	AARS2
AARSD1	AARSD1
AASDH	AASDH
AASDHPPT	AASDHPPT
AASS	AASS
AATBC	AATBC
AATF	AATF
AATK	AATK
AB015752.1	AB015752.1
ABALON	ABALON
ABAT	ABAT
ABCA1	ABCA1
ABCA10	ABCA10
ABCA12	ABCA12
ABCA13	ABCA13
ABCA2	ABCA2
ABCA3	ABCA3
ABCA4	ABCA4
ABCA5	ABCA5
ABCA6	ABCA6
ABCA7	ABCA7
ABCA8	ABCA8
ABCA9	ABCA9
ABCA9-AS1	ABCA9-AS1
ABCB1	ABCB1
ABCB10	ABCB10
ABCB11	ABCB11
ABCB4	ABCB4
ABCB5	ABCB5
ABCB6	ABCB6
ABCB7	ABCB7
ABCB8	ABCB8
ABCB9	ABCB9
ABCC1	ABCC1
ABCC10	ABCC10
ABCC11	ABCC11
ABCC12	ABCC12
ABCC2	ABCC2
ABCC3	ABCC3
ABCC4	ABCC4
ABCC5	ABCC5
ABCC5-AS1	ABCC5-AS1
ABCC6	ABCC6
ABCC8	ABCC8
ABCC9	ABCC9
ABCD1	ABCD1
ABCD2	ABCD2
ABCD3	ABCD3
ABCD4	ABCD4
ABCE1	ABCE1
ABCF1	ABCF1
ABCF2	ABCF2
ABCF2.1	ABCF2.1
ABCF3	ABCF3
ABCG1	ABCG1
ABCG2	ABCG2
ABCG4	ABCG4
ABCG5	ABCG5
ABCG8	ABCG8
ABHD1	ABHD1
ABHD10	ABHD10
ABHD11	ABHD11
ABHD12	ABHD12
ABHD12B	ABHD12B
ABHD13	ABHD13
ABHD14A	ABHD14A
ABHD14A-ACY1	ABHD14A-ACY1
ABHD14B	ABHD14B
ABHD15	ABHD15
ABHD15-AS1	ABHD15-AS1
ABHD16A	ABHD16A
ABHD16B	ABHD16B
ABHD17A	ABHD17A
ABHD17B	ABHD17B
ABHD17C	ABHD17C
ABHD18	ABHD18
ABHD2	ABHD2
ABHD3	ABHD3
ABHD4	ABHD4
ABHD5	ABHD5
ABHD6	ABHD6
ABHD8	ABHD8
ABI1	ABI1
ABI2	ABI2
ABI3	ABI3
ABI3BP	ABI3BP
ABITRAM	ABITRAM
ABL1	ABL1
ABL2	ABL2
ABLIM1	ABLIM1
ABLIM2	ABLIM2
ABLIM3	ABLIM3
ABO	ABO
ABR	ABR
ABRA	ABRA
ABRACL	ABRACL
ABRAXAS1	ABRAXAS1
ABRAXAS2	ABRAXAS2
ABT1	ABT1
ABTB1	ABTB1
ABTB2	ABTB2
AC000032.1	AC000032.1
AC000035.1	AC000035.1
AC000036.1	AC000036.1
AC000050.1	AC000050.1
AC000058.1	AC000058.1
AC000061.1	AC000061.1
AC000065.1	AC000065.1
AC000065.2	AC000065.2
AC000067.1	AC000067.1
AC000068.1	AC000068.1
AC000068.2	AC000068.2
AC000068.3	AC000068.3
AC000072.1	AC000072.1
AC000082.1	AC000082.1
AC000085.1	AC000085.1
AC000093.1	AC000093.1
AC000099.1	AC000099.1
AC000113.1	AC000113.1
AC000120.1	AC000120.1
AC000123.1	AC000123.1
AC000124.1	AC000124.1
AC000372.1	AC000372.1
AC000403.1	AC000403.1
AC001226.1	AC001226.1
AC001226.2	AC001226.2
AC002044.1	AC002044.1
AC002056.2	AC002056.2
AC002057.1	AC002057.1
