	1	2	3	4	5	6	7	8	9	10	11	12	13	14
A1BG	5.667234812778659e-05	-0.0001056187649676	-9.899485281526068e-05	-0.0002116204363259	0.0001142400106209	4.162567648299572e-05	0.0001897132868641	0.0001987478726772	-7.399110218373942e-05	9.971872088063905e-05	-0.0001007216281544	-0.0001755566194053	9.15971360114484e-05	0.0005918441521789
A1CF	-2.360502296414356e-05	4.5392141582892696e-05	-4.788571810207757e-05	0.0001149959508097	-7.870845207541223e-05	-3.2125654582879635e-05	-0.0001284078956141	-6.729950330750573e-05	-8.945998266826918e-05	7.56799624741053e-06	1.7440499295070806e-05	0.0001051037899408	7.140378242644922e-07	0.0014586246609702
A2M	-1.109851266272814e-05	1.9816533236279854e-06	1.5613034121441107e-05	5.8426853216076187e-05	-6.818515509910642e-05	6.676460281768078e-05	-0.0002044700383603	-7.747834091980127e-05	-0.0001232795516397	-0.0001106488681864	-2.230194027142741e-05	7.645518844915046e-05	0.0013936157148503	0.0003010087091667
A2ML1	-1.442997405261451e-06	5.441975727909328e-06	0.0001050401111337	-8.273265907935649e-05	6.379145488242692e-05	-0.0001284686078053	-3.8995980590005423e-05	-5.02415229905008e-05	0.0001386942094467	-6.176726748837319e-05	3.93826312378618e-05	1.853666946137627e-05	-3.81601844096114e-05	-0.0001361507666687
A3GALT2	9.746869307875424e-05	-1.890153040555089e-05	-3.3456569979783016e-06	-7.372812378522603e-05	-4.5458794052650256e-05	-5.267511224532675e-05	7.162885298247255e-05	9.401694857356932e-05	-7.54767040840271e-05	1.38272656258306e-05	-2.39558322145966e-05	-3.0250612102050683e-05	-1.142102640898527e-05	-7.009431740731602e-05
A4GALT	-3.955987695675854e-05	-1.1725536529367362e-05	0.0001537981959784	-5.8617764514280826e-05	2.831784887106464e-05	-6.589004569299597e-05	5.322565754071524e-05	1.1734542849303666e-06	-4.56725011614999e-05	-1.3981654330322334e-05	-9.620305876216248e-06	-2.842656970960127e-05	-3.6427372763946455e-05	-6.640496729226013e-05
A4GNT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AAAS	-7.728742657791078e-05	-8.6881085890937e-05	-1.2289474515356025e-05	2.0343685950679597e-05	1.820508440029544e-05	3.089762233407447e-05	0.0003066043418787	-4.364846373740219e-05	0.0001314510460981	3.446560824530704e-05	5.853587660240368e-06	2.5370598378432568e-05	0.0001863370832355	-0.0002440236699524
AACS	-0.0001137829358433	0.0001493567567498	8.916731012173517e-05	-0.0001699055155345	1.824899330393028e-05	-9.308375000476316e-05	-0.0001059741193194	0.0001359798328252	4.08498537881198e-05	0.0003108020894381	0.0002747360377903	2.8177762140965896e-05	-0.0002399997733329	-0.0001080010975236
AADAC	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AADACL2	-3.1696821800184736e-05	-5.0791050593074105e-05	0.0002110155005592	-0.0001087285056695	-1.537924739511086e-05	3.76197605872096e-06	-3.598317960581141e-05	-0.0001464320816104	-2.494746824671273e-05	-1.156200319810735e-05	1.2194337503302036e-05	-5.347499778592338e-06	-3.049500339976985e-05	6.8879343873814495e-06
AADACL3	-5.889461544256621e-05	-4.308660524266282e-05	0.0001720957513444	-0.0001286360794648	-6.351378368716126e-06	-6.611642017859735e-05	0.0002006103684202	0.0001524475799318	-1.297692707270725e-05	-2.1383556515381475e-05	-3.18515745931763e-05	-3.858672400448694e-05	-3.6155357323765305e-05	-2.324659785814628e-05
AADACL4	-1.919451325650106e-06	-6.660250106880389e-05	9.341699575776183e-06	-4.768114822152587e-05	3.0313353779037206e-06	-3.5139754863110947e-05	4.8191274842115565e-05	0.0002143486882752	-4.4055728447114096e-05	-1.9391446930379632e-05	-1.7104131707609155e-05	-4.012435391762706e-06	-3.346183223521572e-05	-5.226820927683635e-05
AADAT	-8.739289459364934e-05	3.663944380881909e-05	8.468445700432681e-05	-5.727189599193638e-05	8.222960872646333e-05	-9.794384455415778e-05	0.0001297153969439	-6.366062895393166e-05	1.5451938968163298e-05	9.702786304521892e-06	-3.452847117463382e-05	-4.088951247500308e-05	-4.982374519580384e-05	-3.1388844382301735e-05
AAED1	5.4715720735729765e-05	0.0002093768471404	-0.000236527645561	-0.0003106183775313	0.0002028135537665	3.057536128331393e-05	-0.0001342180346603	0.0001792689386762	9.409068000816869e-05	0.0001415305754484	-4.710952987831866e-05	-2.713033589577565e-05	5.5057049953132896e-05	-0.0003903455630126
AAGAB	-0.0002357719315855	0.0001936504129546	0.0002056948611813	0.0001576016412852	0.0001036359987924	0.0001733512734624	-0.0005085042273072	-0.0004966700477794	2.8476940984958345e-05	-5.577587161848372e-05	7.058809329285686e-05	0.0001543495435984	2.17011449518423e-05	-4.4008441891412055e-05
AAK1	-0.000632408572152	-0.0001762549650556	7.047086306408996e-05	0.0013286464518264	-0.0002745797352422	0.0001391694732658	-0.0003673873720054	-0.0005606487119938	0.0001119156976319	-6.515701672072052e-05	0.0005279432877666	0.0003353894238195	0.0024350735060597	0.0003896230592685
AAMDC	0.0003506124273277	5.821265761622952e-06	-0.0001261628672117	5.161552034728079e-05	0.0001648995515089	-0.0001935037173934	-0.0002374421392558	-0.0006210113401082	-0.0001849285220932	-0.0001039160588476	-3.0050483149848975e-05	2.2738162218428894e-05	0.0001074106732794	-7.7013988878251e-05
AAMP	-0.0001537673084087	-3.3508960465594405e-05	-0.000149979071226	0.0001834704019565	9.117727563856172e-06	-3.693259618853719e-05	0.0004820133696304	0.0003557095833603	-1.8100175158346296e-05	0.0001639797079815	1.3211802416833683e-05	-0.0001320098185639	-0.0003287417959179	-0.0003517112581036
AANAT	0.0001974685529019	-1.6751718845535278e-05	-0.0002180081983695	7.90060897768928e-05	0.000323550151272	-0.0001333653600668	-0.0001020703502374	-0.0003158608318972	5.855543299765635e-05	2.893594554978116e-06	-8.699948166367895e-06	7.742698830084229e-06	-1.2372931973894764e-05	-0.0001927862138458
AAR2	-7.433272661540002e-05	0.0001130448228342	0.0001147677712688	1.8326329731062448e-05	1.4148708297215083e-06	5.87072493694749e-05	-0.000151059104011	-6.26011734724e-05	0.0001167191201003	-5.789338248311877e-05	-7.702653094302798e-06	8.21757600278105e-05	0.000194907892773	-0.0002156716855487
AARD	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AARS	-0.0001747578396473	-5.641875243971057e-05	-4.56653114075766e-05	-3.004008305310636e-05	0.0001439908543914	1.376129974819662e-06	-2.9391170677226736e-05	-0.0001254731184266	3.703208158606257e-05	0.000669322700413	0.0003007316847991	0.0001860585663033	-0.000155715011269	0.0002101780651114
AARS2	7.183281759149318e-05	0.0001003555590228	-0.0001679547215343	6.262252573857827e-05	1.2081118311725676e-05	-1.03255961237564e-05	-0.0001404464569966	1.075500675772086e-05	0.0001337236299397	-9.693561370019984e-05	8.705081748306471e-05	6.029458058091742e-05	-8.836108685927864e-05	5.336585176311293e-06
AARSD1	-2.5242031645717385e-05	0.0001405527886411	-0.0001194402589056	-8.935593960967639e-05	2.3898599653437305e-05	-0.0001813252243951	2.658894081596352e-05	0.000113782101263	0.0001026445580499	-7.495978239421624e-06	-8.125848211635556e-05	2.766695196713769e-05	0.000136698192151	-0.0003557120360098
AASDH	5.261126623892918e-05	5.13345616038926e-05	0.0001179292284966	-0.0001372245045408	-1.0860306706256429e-05	-3.951849531994742e-05	6.891043959782144e-05	-0.000463851835669	6.640864244725945e-05	-0.0001568532753721	-2.3385309316909072e-05	1.0792305097645472e-05	-8.651997400964078e-05	0.0001336757778739
AASDHPPT	-3.918538326927142e-05	-0.0001226551558804	-1.131814999833634e-05	8.43418072911309e-05	0.0001531884244713	5.178783651855878e-05	7.481876307254808e-05	-0.0003382235320158	-9.15418101483099e-05	1.0493866653012392e-05	-4.7741916926111104e-06	-2.1806104673164678e-07	0.0001056105886376	0.0002211765788756
AASS	0.0004021633343649	0.0001376455080328	-0.0001616653718509	3.091652998589517e-05	-0.0001419988758854	-0.0001840514679897	-2.3684252699699225e-05	-0.0004838477763164	-0.0002114542968794	-8.093162992011202e-05	-5.151316025253292e-05	-5.283170003662954e-05	-8.927749894457e-05	1.8801411053148827e-05
AATF	-0.0001059905167682	0.0001716488066182	0.0004391335681921	2.83924938961988e-05	4.286318395082255e-05	7.080308054380145e-05	-0.000380063970071	-0.0003583631523722	8.061557093780165e-05	-0.0002011289489073	1.8562925602830834e-05	6.459394151715567e-05	8.327834293195509e-05	-0.0002710509003482
AATK	-9.197810708661634e-05	3.006615853470022e-05	-8.313036587440731e-05	3.384065667932299e-06	-0.0001116630231527	-2.4847437967148263e-05	4.268334267600546e-06	0.0006392726369806	-2.5746524835573456e-05	1.19823385617093e-05	-2.7900159207373505e-05	-2.158886607137125e-05	0.0001989525239155	0.0003480598780212
AATK-AS1	-2.8723024269902483e-05	1.8495861218785825e-05	-8.497732859090366e-05	0.0001784854101523	-1.5574192384989297e-05	-6.652980881241544e-06	-5.659506323098077e-05	-3.4917307166343655e-05	-5.566411851674408e-05	-2.1503094481923903e-05	-3.5797542101242027e-06	1.7397264075717676e-05	-3.954507926659599e-06	0.0008082044072234
ABAT	-3.3027678130766175e-05	-2.1939915537098616e-05	0.0004229284716706	0.0001524229782004	-0.0002449093009164	-6.250924626036172e-05	-0.000188407187886	-0.0004362370605073	0.0001242998001491	-0.0001272661337618	-2.543211368956349e-05	-2.008291573869725e-05	1.0518276351514169e-05	-4.641446268591625e-06
ABCA1	0.0004217558401844	-0.0002730369003331	-0.0002058435021831	0.001550802736592	-0.0007445756921908	-0.0003101056047949	-0.0008795704023682	0.0003754348383129	-0.0003784616238139	-0.0003057132949761	-2.816101919799676e-05	4.039420231779741e-05	7.848656290218744e-06	-0.0002852998128518
ABCA10	0.0001846972993026	0.0003896442379682	-9.60369597363301e-05	-0.0002395349117611	5.317739984843726e-05	-7.322797944027881e-05	-0.0005292679279132	-0.0004357227931368	0.0001311214759386	0.0001906204344392	-2.510431339569922e-05	0.0003598800748325	-5.019911878996945e-05	-9.0787348264222e-05
ABCA12	-3.579762946276607e-06	-9.455074904328816e-05	0.0002550475143893	-0.0002014163784864	3.2701454470751435e-05	-7.536768597288811e-05	-4.991748355257558e-05	-0.0001227847662387	0.0003145475875459	-1.5908630576113112e-05	-1.867098612252419e-05	-8.376811533826632e-06	-4.317507044146032e-05	-4.496601064632687e-05
ABCA13	-3.7579869806020186e-05	9.922450301869715e-05	0.0001531637577566	-6.139694139143206e-05	1.9826532481868965e-06	-6.661623618841224e-05	-2.177933823627123e-05	-0.0002770710835373	0.0001821721654361	-3.2037667541032974e-05	-1.1104064435882354e-05	-1.4769313176406138e-06	1.0359946357207333e-05	-0.0001007453730828
ABCA2	-1.3071756751578042e-05	-0.0001213923158599	-4.8273680341655866e-05	-9.424142991896917e-05	4.4992369285041096e-05	6.738375510695816e-06	4.582416942022834e-05	5.516855929254801e-05	0.0002962432514624	-7.756065668820232e-05	-5.019669954823948e-05	-4.3621067426585706e-05	0.0009753254540283	0.0001127277187522
ABCA3	-4.653257599877725e-05	7.013408950415278e-05	-0.0001565973208393	-3.471533741795933e-05	0.0002612018780599	-4.3998554224317584e-08	-0.0001707957748327	4.675101234480234e-06	0.0002347472110075	-3.443206705975507e-05	5.597883778743391e-06	2.952818992850381e-06	-3.50278525359989e-05	0.0006039124040416
ABCA4	-4.0854554044651736e-05	-2.970240174836686e-05	1.3415493586975802e-05	5.772265934268334e-05	3.846924332742576e-05	-4.0927139673776285e-05	-8.253384423711714e-05	1.7383206061561253e-05	-1.3408434227499468e-05	2.971597314277064e-05	-2.777620645251373e-05	0.0001078116920851	8.482527768598669e-05	-5.1516749117570594e-05
ABCA5	0.0005407095398535	0.0004739561202877	-0.0003075202918657	-0.0004322751449224	-0.0001236300251131	-9.70861249426223e-05	-0.0007440449298431	-0.0005361215642163	-4.145752562236037e-05	0.0003050848819641	3.104653521669681e-05	0.0004275458769238	0.0005200223922701	-0.0005211531663534
ABCA6	-0.0002266610407429	0.0002937384550375	0.0001569382246366	-0.0003219045864928	-4.518396982679166e-05	-0.0001373797566031	4.553230286891705e-05	0.0004930939467445	0.0003553338076413	1.8741933689582432e-05	-1.187350864293704e-05	0.0001040547610281	1.5068642486437256e-07	-0.0001109054873362
ABCA7	-0.0002948743131987	5.55267780078084e-05	3.89455875198532e-05	0.0002120401660537	5.3959868731163296e-05	0.0002017005871705	-0.0001788353261813	3.5439838305750145e-05	8.71512422030962e-05	-0.0001480307960538	-9.899268702256518e-06	0.0001147171494016	-0.0001100389858878	0.0001181983753786
ABCA8	1.894711251922702e-05	-4.626700224582569e-05	-3.522098902611674e-05	-8.222633087358495e-05	3.474428643094934e-05	3.813534202298321e-05	-6.176020417277122e-05	0.0006486642572229	-7.860738764237046e-05	8.362523067626387e-05	-3.952432885958048e-05	1.617410482302699e-05	-6.897499135990979e-05	-3.171829394480723e-05
ABCA9	-6.506855195348477e-05	0.0001839207197474	5.904935542891989e-05	-0.0001108404652464	-0.0001134442550597	5.360263285621904e-07	-0.0002942149420307	-0.0002227475606158	4.63578774541997e-05	-6.201880579754685e-05	-6.403029749276455e-05	0.0006671801107226	3.323342182519322e-05	0.0004205508499536
ABCB1	0.0017326562701996	-0.0005128396895062	-0.0004202705731365	-0.0005836882851338	-0.0004736271285268	-9.52200176021906e-05	-0.000264652590613	4.52819286756695e-06	-2.8467283068134413e-05	-0.0001018945651242	-2.5097231266675603e-05	-1.5199795804448558e-05	-0.0001266458387673	-0.0002654472716353
ABCB10	4.805517198462864e-05	-0.0001463322273346	0.0005222278046888	-0.0001527302832354	-0.0001648447980622	0.0001426110152932	-0.0003477637186136	-0.0003605697983783	0.0001359138592601	-8.374444667509213e-05	-2.6450197294541617e-06	0.0002925385739266	-7.581368868209547e-06	1.0513334465621676e-05
ABCB11	2.343439994401393e-05	-7.48890621442276e-07	2.811266674957686e-06	-8.116080140170898e-05	2.9647361421595267e-05	6.585326915098804e-06	-1.3151594833053238e-05	0.0002793276075099	-5.8935710779758094e-05	-2.2356060053184773e-05	-2.0082908416997422e-05	5.755584652292377e-06	-2.3089155083027538e-05	-7.534580170148962e-05
ABCB4	0.0013593243889311	-0.0002420598884257	-0.000109756181184	3.977738817373264e-05	-0.0008465120090591	-0.000241427122382	-0.0004016379787299	-0.0009379367712643	-0.0004357356305723	-0.0002236049838594	-7.974269734675247e-05	-1.86058807322493e-05	-8.343134731075708e-05	0.0001383989406697
ABCB5	-4.91804936832176e-05	-1.8027939906151047e-05	9.16387644318317e-06	-5.613000818216103e-06	-4.215979531320914e-06	3.984197653746185e-06	-4.403467384850381e-05	0.0001657051588606	8.259872701219381e-05	-1.577957017989365e-05	-3.616211340649092e-05	5.8872649911049546e-05	-2.738683353067767e-05	-0.0001689656218659
ABCB6	8.114751346085128e-06	-7.130964113062684e-05	-2.6544873319106005e-05	1.5716328845633412e-05	-4.8133261137939385e-05	-7.071699589497199e-05	-2.4042298790482107e-05	9.795066033548534e-05	0.0001359541050214	-1.1064286465696936e-05	0.0001544774661999	9.460617108599564e-05	-0.0001103377059532	0.0001877256575022
ABCB7	0.0002349335036871	0.0001379994915718	3.296471082887841e-05	0.0002473966717621	5.087421976584617e-05	-5.707959314793634e-05	-0.0005532993790997	-0.0006753781495325	-0.000174885397832	-0.0002500097063215	1.3524192080708552e-05	-3.232143584465468e-05	-9.712261733803008e-05	-7.963239999843604e-05
ABCB8	0.0001145171531068	9.316325965414506e-05	-0.0001256621228363	0.0002488605408273	-0.0002091050622343	-1.727202915550045e-05	-6.338808330869616e-05	-0.0003729095182909	-3.070967174992093e-05	-1.2048977956997798e-05	7.253770507544779e-05	-3.175388141005128e-05	-7.841005391112734e-05	-2.804643484791041e-05
ABCB9	-0.000215983842039	-1.900327336573598e-05	-4.327599602253721e-05	-0.000155417026783	-0.0002045492229099	-1.9361996674323923e-05	-0.0001532033654318	-0.0003243104233803	-0.0001786938673255	0.0006263762130872	0.0009160905429572	0.0019058625392729	-0.000399745672745	0.0002851185049832
ABCC1	-0.0003157138984426	0.000337612341923	0.0004802552843	-0.0001957497169129	0.000366179552534	0.000295245932485	-0.0007902164274058	-0.0005833706354385	-0.0001993013099599	-0.0001932230737594	0.0001955283685166	0.000352014977102	0.0004323912506726	0.0003579527603948
ABCC10	-4.25490902219774e-05	8.077832030939495e-05	3.9037933016562494e-05	2.725651151773818e-05	-1.8052646783447407e-05	6.960197365900452e-06	-1.988024459489718e-05	-0.0002970977254605	-5.8221437107900775e-05	-1.2978820986846994e-05	1.5368270477417427e-05	-0.0001205491448249	-6.663440801340586e-05	0.0001205982502307
ABCC11	-6.726404357681434e-05	0.000101572766182	4.591965335915557e-05	0.0001174805070906	-3.705701950641233e-05	1.2539301356678818e-05	-0.0001263037567018	-0.0002238047114101	5.960595523059136e-05	-1.6231012614355586e-05	3.667916871349709e-05	4.083410571315941e-05	-0.0001150326052932	-0.0001736162439976
ABCC12	3.938400295645584e-06	-2.3286886922575585e-06	-6.310076955525774e-05	-0.0001083541945412	-2.4682638206675904e-05	-9.193426187746672e-05	-6.036116702627891e-05	0.0011741813115859	-9.63762969057842e-05	-4.107897392192812e-05	6.239018576242518e-06	-2.5698913102659923e-06	0.00016497622153	-8.480058096147289e-05
ABCC2	7.776493396482068e-05	0.00010383952052	0.0001091585247694	-1.631256063572653e-05	-0.0001857052811697	-9.02138881587334e-06	-0.0002234383454534	-0.000445259764768	-0.0001282631665606	-1.3642413293430044e-05	1.027309458523921e-05	5.720950479894236e-05	-5.991959187705536e-05	0.0011435860039201
