1	2	3	4	5	6	7	8	9	10	11	12	13	14
BACH2	MAST4	MYO1E	LINC01505	PDE4D	DNAH8	BIRC5	DUSP2	SOX5	IGHA1	FNDC3B	HRASLS2	B3GAT1	GP1BB
LARGE1	ARHGAP24	JAZF1	ADAM23	COCH	VOPP1	GAPDH	IER2	SYT1	SSR4	TXNDC5	SEMA3G	ZNF683	PPBP
ADK	TBC1D9	SYNE2	HRK	TEX9	S100A10	KIAA0101	EGR1	ITGAX	JCHAIN	IGHG1	TNFRSF17	THEMIS	SDPR
IL4R	JAM3	BMP2K	BMP3	HIPK2	NEAT1	ACTG1	ASTL	TOX	PSAT1	XBP1	SPN	PPP2R2B	NRGN
ITPR1	ZNF804A	AUTS2	CCDC191	LYPLAL1	S100A4	TMSB10	NR4A1	MPP6	MANF	MZB1	SLCO3A1	CD2	PF4
AKAP6	RALGPS2	SNX9	CD9	TOX	CRIP1	ACTB	NR4A3	TNFRSF1B	DERL3	MAN1A1	TSPAN18	FGFBP2	TUBB1
ZBTB16	OSBPL10	TTN	PCDH9	SSPN	ACTG1	MT1E	NFKBIA	FCRL5	FKBP11	CAV1	IGF1	GZMH	CLU
COL19A1	COL4A3	CAMK2D	NEIL1	TBXAS1	PITPNC1	TROAP	EGR3	ATXN1	CHPF	HSP90B1	MYO1D	PRKCH	GNG11
FCRL1	C1orf186	COL19A1	MME	GRAMD1C	FAM129A	RPS2	CD83	FGD4	MZB1	IGHG3	AQP3	NKG7	PRKAR2B
ADAM28	CPED1	ZNF608	TCL1A	FGD6	CAMK4	PFN1	JUNB	MAP4K3	IGKC	FKBP11	GLDC	TGFBR3	RGS18
SYN3	TNFRSF13B	SNX29	RAPGEF5	MARK1	MAGI1	PRDX1	JUN	LRMP	SEC11C	SLAMF7	PRDM1	GNLY	PF4V1
NETO1	TFEC	ATP8A1	PIP5K1B	EYA2	EPHA4	RPL28	BTG2	ZEB2	HSP90B1	SEC11C	PERP	GIMAP4	CMTM5
ST6GALNAC3	GPM6A	DENND4A	TTC28	BTNL9	ANXA2	RPL7A	FOS	SLC11A1	NT5DC2	MYDGF	NPIPB6	ANXA1	TREML1
ANKRD44	CCSER1	HDAC9	CORO2B	NLGN4Y	ANXA4	ATP5G3	FOSB	MEF2A	ERN1	LMAN1	FNDC3B	PRF1	SPARC
PACS1	ANK3	RRAS2	MAML3	S100Z	SAMHD1	MKI67	NFKB1	ADGRE5	PRDM1	IGHG2	ERN1	CD3D	C6orf25
SLC38A11	PTPRG	LINC01572	PPP1R14A	FNBP1	AK8	EIF4A1	CD69	TBX21	ASS1	IGHG4	TXNDC11	FYB	GP9
LINC00926	KIAA2022	TLE1	CYTH3	ITGB1	ARHGEF3	TXN	EGR2	FGR	VIM	NUCB2	RUNX2	ITK	CLDN5
CARMIL1	BANK1	MIR181A1HG	ZEB2	SNED1	TAGLN2	CHCHD2	BCL2A1	GPR137B	IGLC2	ACOXL	BMP8B	GIMAP7	SH3BGRL2
SMAP2	CCDC50	CDK14	YBX3	TCF7L1	FA2H	TMSB4X	NFKBID	ENC1	VIMP	TSHR	IGHM	PRKCA	F13A1
KHDRBS2	SGPP1	CBLB	RELL1	TRERF1	FAS	NME2	ZFP36	RIN3	ATF5	TXNDC11	TNFRSF11A	GZMA	PTCRA
SKAP1	CSGALNACT1	FOXP1	CMTM7	SDR16C5	CCDC50	LGALS1	EGR4	CIB1	HSPA5	PPIB	CCR9	LINC00482	ITGB3
NR3C2	TNS3	RHOH	CD79B	NEK6	ATP2B1	RPLP0	NR4A2	METRNL	SRGN	SPATS2	ESR1	CD247	CCL5
CCND3	PTCHD1-AS	RFTN1	PTPRJ	PLEKHG7	S100A11	CLIC1	TEX14	FCRL3	TXNDC5	ITM2C	SRGN	CST7	MYL9
TMEM2	VOPP1	CCDC141	CDK6	PIK3R5	MIAT	SEC61G	IER5	FAM49A	ARX	PDIA4	ABCB9	GZMB	TMEM40
MGAT5	EML6	GNG2	MYO1C	ANK3	S100A6	SLC25A5	JUND	SMOC2	LGALS1	KLHL14	IL6R	INPP4B	CTTN
THRB	AIM2	VAV3	LINC01250	BRIP1	AHNAK	CFL1	PPP1R15A	RTN4R	SDF2L1	CD38	TNFRSF4	PRSS23	ACRBP
TPST1	NLRC5	LYN	WASF1	PAG1	MYO1F	RPL41	TNF	LITAF	LGALS3	SDC1	VDR	ADGRG1	GAS2L1
FOXO1	TMEM163	HS2ST1	BCL7A	PARM1	ZYG11A	EEF1A1	H3F3B	TFEC	SSR3	NUGGC	IGHA2	AOAH	BEX3
ABCB1	KANK1	PELI1	SNTB1	KYNU	DAAM1	RPLP1	EIF1	GALNTL6	IGHA2	SPCS3	PLA2G16	CLIC3	RAB27B
MBNL1	PRKD1	BCL2	CD38	EPHA4	COTL1	PTTG1	DUSP1	ANK2	CCR10	RRBP1	BIK	IGSF11	SCGB1C2
