	1	2	3	4	5	6	7	8	9	10	11	12
A1BG	-0.000425942363203	-0.0001995398969622	-0.0003666008885951	0.0024345533553386	-0.000309840187542	-0.000207155557476	-0.0001196940127466	-0.0001705504917545	-0.000514821146304	-0.0002109455119198	-0.0002310004050147	-0.0003473553954038
A1CF	0.0003849345000795	-4.959668590087099e-05	-8.078276362108386e-05	-0.0004187519093551	-4.592315401279742e-05	-3.6904296143190046e-05	-2.9061273859791136e-05	-1.8698920674583984e-05	-0.0001435491171589	-2.762096591226192e-05	0.0009546855812004	-6.942078094016321e-05
A2M	-4.373822262165952e-05	-0.0003771537277497	-0.0002741828173338	-0.0001543260414357	0.0004364759971618	0.0002523161663332	0.0001702251238365	-0.0001101361062814	-2.9603157354745893e-05	0.0002604111302346	-0.0003493960523879	0.0019203126475457
A2ML1	7.494274520432024e-05	2.3184376926312807e-05	-0.000165586614074	0.0001001621757255	0.0001635940216564	-3.3134127296298954e-05	-7.351504251902384e-05	-0.0001859304427486	-0.0001076779642397	-4.400277738483485e-05	7.287757652476765e-05	-7.195165660519246e-05
A3GALT2	-5.62604972726017e-05	-9.194914774248412e-05	-0.0001432985261301	-0.0001422498985307	0.000290071359169	0.0002804517357917	-3.186780358120227e-05	8.706978148200997e-06	3.808781135371808e-05	-4.791263610374196e-05	-0.0002587930422775	-0.0001553374129529
A4GALT	-8.684791199000965e-05	-0.0001466297874852	-0.0002828764883917	0.0008394032539173	-2.398914134110953e-05	9.36927049020181e-05	-5.5652017213648863e-05	-9.15830638502006e-05	-0.0002565582203356	-6.975148142489903e-05	-6.086506213383998e-06	-0.0001276815908882
A4GNT	-5.39129021394262e-05	-2.7856545149222245e-05	-2.860675114078964e-05	7.477213722730533e-05	0.0001016486226178	-8.306365778744219e-05	8.19796679394938e-05	-9.101705975042189e-06	-3.175716442790916e-05	-2.5159687041448707e-05	-0.0001318374598118	-5.994678315197978e-05
AAAS	1.1826087511760396e-05	-2.3906162213169435e-05	0.0003202148885323	0.0001163795472295	-3.624940592337572e-05	-0.0002994661918684	-0.0001234403119419	-0.0001158278939799	0.0001118036351628	-5.6214266134721725e-06	4.097358925322106e-05	-0.0001623855239205
AACS	0.0006182789674825	-0.0002063785855631	-0.0007484351619801	1.1879388592174376e-05	5.500001629117033e-05	0.000274105323282	-0.0002113691875081	-8.84296520300272e-05	-0.0003969118069429	-5.818365915132736e-05	-4.426038294584063e-05	0.0010552258862201
AADAC	0.0001909110263176	-4.151434860020804e-07	-5.692844255888327e-05	-0.0002900202875836	3.486514254284911e-05	-4.321690309744156e-05	-1.8867586326812237e-05	-3.024918563859284e-05	5.4679674730449365e-05	-1.5312171711252142e-05	-1.7877480538409335e-05	-2.288490221229557e-05
