1	2	3	4	5	6	7	8	9	10	11	12
FCHSD2	S100A9	HLA-DRA	GZMB	RTN1	BORCS5	CD83	RFX2	SIGLEC6	CLEC9A	IFIT3	ADAM12
RUNX2	S100A8	HLA-DPA1	PPP1R14B	JAK2	MALT1	MARCKS	MYADM	PPP1R14A	CLNK	ISG15	LAMP3
AFF3	VCAN	TMSB10	SPCS1	HDAC9	RAPGEF1	FPR3	EMP1	AXL	CADM1	IFI44	SLCO5A1
ZFAT	CD14	RPL8	ALOX5AP	DOCK8	SIPA1L1	KLF2	LMNA	HAMP	C1orf54	IFIT1	NCCRP1
AUTS2	S100A12	HLA-DPB1	IRF7	MARCH1	NR4A3	SGK1	AHNAK	CD22	WDFY4	EPSTI1	KIAA1211
RABGAP1L	SLC11A1	HLA-DQA1	ITM2C	DENND1A	JARID2	IL1B	CD44	ECE1	CPNE3	CMPK2	PLEKHG1
ANKRD11	PLCB1	RPS15	SRP14	GRK3	SPDYA	EGR3	WDFY2	ZEB1	IDO1	MX1	IL32
TCF4	FCN1	RPL26	SEC61B	ELMO1	INPP5A	RASGEF1B	SGMS2	MED12L	XCR1	PARP14	MS4A1
PDE4B	MNDA	RPL18A	JCHAIN	GNAQ	ATP1B3	EGR1	ANXA1	BDKRB2	NCALD	XAF1	BIRC3
SETBP1	CTSS	RPL11	COMMD6	TBC1D22A	TSPOAP1	NFKBIA	LRRFIP1	ADAM33	SNX3	MX2	MARCKSL1
ITPR2	MEGF9	CST3	IGKC	ANKRD44	NDEL1	EGR2	SLCO3A1	NCAM1	CCSER1	IFI44L	TUBB2B
PLXNA4	TSPO	RPL32	RPS12	MAML3	RABGEF1	RGL1	VIM	SEPT6	CCND1	RSAD2	CCL19
LINC01478	CSF3R	RPS18	RPS27A	MBNL1	ZNF331	MTSS1	CRIP1	BICC1	PAWR	IFI6	WNT5B
APP	LYZ	RPL15	SERPINF1	AOAH	PAPD5	BCL2A1	AGPAT4	RGS16	TOX	OAS3	TNNT2
LINC01374	IRAK3	RPS2	B2M	DISC1	PPARD	CCL3L3	ANKRD28	VASH1	RAB7B	STAT1	FSCN1
HS3ST3B1	TMTC2	HLA-DRB1	TPT1	TBC1D5	TCOF1	MAFB	CAMK1D	FAM105A	KCND3	SAMD9L	CD274
DACH1	FTL	RPL28	LRRC26	C10orf11	RFTN1	CD300E	ANTXR2	SPOCK2	THRB	LY6E	NLGN4Y
INPP4A	TALDO1	RPS24	RPS3A	ATP8B4	CD86	DUSP6	CD99	BIN1	SLC24A4	EIF2AK2	EMILIN3
TNRC6B	TMEM170B	TMSB4X	CLIC3	PCCA	OXSR1	CXCL8	GAS7	FAM129A	CAMK2D	RNF213	NMRK1
COBLL1	LRRK2	RPL18	NPC2	DTNA	VDR	PID1	MIR24-2	CDH1	IDO2	OAS2	FCRL1
PRKCB	SLC22A15	RPS13	MYL12A	PTEN	RCOR1	MSR1	DENND4A	ATP1A2	ENPP1	DDX60	EBF1
CD2AP	AGTRAP	RPS14	TPM2	PIP4K2A	SYTL3	CLEC7A	ADGRE5	UBASH3B	FNBP1	OASL	NOS1AP
ARID1B	DPYD	RPL19	RPS28	KIAA0922	ZC3HAV1	CCL3	DIAPH1	DAB2	C1orf21	GBP1	CD80
ADAM19	APLP2	HLA-DQB1	LILRA4	DOCK2	NR4A1	SPRED1	PDE7B	FAM49B	HLA-DOB	PARP9	FRMD4A
CDYL	FBXL5	CD74	VAMP8	SPECC1	CYTH3	NFKB1	TEC	LTK	CLCN4	LAP3	VPREB3
GRAMD1B	ACSL1	RPS7	SEC61G	CELF2	RALA	ZFP36L1	SIK3	GAS1	SHTN1	TNFSF10	RNF150
HIVEP1	NCF2	RPL14	LIME1	LYST	PLAUR	NEAT1	ZSWIM4	FAM179A	BATF3	IFITM3	TC2N
PI4KA	ASAH1	RPL30	SSR4	S100Z	MAP3K8	IRAK2	PRKCG	GPR160	TACSTD2	DDX60L	L3MBTL4
CUX2	F13A1	PFN1	PARK7	SCLT1	FBXW7	ZFP36	SEMA4A	IGSF10	CPVL	HERC5	ST8SIA1
