	1	2	3	4	5	6	7	8	9	10	11
A1BG	1.0684615931946047e-05	-6.265489825047717e-05	-0.0004239684794034	0.0003349982321973	8.00995902491784e-05	0.0001643929592776	-1.3015158498696218e-05	3.993283713219046e-05	-0.0002986811779641	0.0003319957988095	-6.60798600998028e-05
A1CF	-1.9742162577232653e-05	2.473484715676168e-05	1.4793329745167952e-05	-2.6112131570131444e-05	-6.768486035231754e-05	-3.215420280905965e-05	5.680269054001313e-05	2.044310364013628e-05	7.038409837468861e-05	-9.40399478669184e-05	-1.1831483450021682e-05
A2M	-9.716834234709342e-05	9.732306216210498e-06	1.1588355031669457e-05	-7.292866192026639e-05	-3.504077324534611e-05	3.491833683181707e-06	-2.5342063158971684e-05	-6.618875495119856e-05	-5.891559252474553e-05	3.840714444358959e-05	0.0047334605144521
A2ML1	-9.725521678306928e-05	2.973685622266873e-05	0.0003336243115559	-5.382896043223987e-05	-5.2558218863260456e-05	-0.0001321152140797	-2.806522908601443e-05	-3.448325345281045e-05	-0.0001847569320645	0.0001018918409772	-1.344770513951022e-05
A3GALT2	2.4369394148740108e-05	2.4719908592156185e-05	-5.128551028533864e-05	-3.8362135720199046e-05	0.0001467503947921	-0.0001171381874431	6.30365263955966e-05	-4.956674436586592e-05	-3.4332379531270096e-05	-0.000172736414037	-3.164693033219397e-05
A4GALT	-9.107322435003731e-05	-2.7066460160790828e-05	-3.0636022921471846e-05	3.241083052022863e-05	1.7642760320754278e-05	3.7766253032203545e-05	0.0002613612799426	-7.626312650300158e-05	3.4149075719542427e-05	-1.9494265250833115e-05	-2.321087822990065e-05
A4GNT	1.1359491965854454e-05	1.6000543593008046e-05	-1.5675465638765906e-05	-3.442886930315655e-05	1.9030867477395683e-06	-1.9762223713544727e-05	1.147249901574925e-05	-1.4259425646808934e-05	-1.888195082758372e-05	-5.8851384475271074e-05	-1.390501233504572e-05
AAAS	-4.56694054509011e-05	3.2392743977439785e-05	3.356862468079753e-05	-2.05690197570022e-05	-6.599681550875433e-06	0.0001222600988326	-0.0001073008460773	-0.0001003599060431	-3.1045807679977104e-05	9.834599688269684e-05	7.522925611191123e-05
AACS	-2.5582272588023076e-05	5.778197583938175e-05	-0.0002161032041226	-3.1183732917945446e-05	0.0003083885421498	-0.0001736065987513	0.0001456539496955	-6.185288135292644e-05	6.273366565407363e-05	9.214098115184602e-05	-7.457486179936552e-05
AADAC	4.243473507874227e-06	-1.723820520871093e-05	6.780241390631376e-06	-8.392294554175686e-06	4.5168306303303466e-05	-3.664108203109662e-05	8.566598637844019e-05	-7.472020726211451e-05	-1.8881333013458495e-05	-1.0091975857695058e-05	-1.950657851880452e-05
