1	2	3	4	5	6	7	8	9	10	11
S100A9	AOAH	FCGR3A	RFX2	STX5	HLA-DRA	JARID2	NFKBIA	MX1	PPBP	CD3D
S100A8	DPYD	TCF7L2	WDFY2	TEX14	HLA-DPB1	ATP13A3	NFKB1	EPSTI1	GP1BB	CD3E
S100A12	RTN1	CDKN1C	MYADM	LINC00910	HLA-DPA1	ATP2B1	IL1B	ISG15	PF4	BCL11B
PLBD1	PID1	LST1	CD44	LINC00854	HLA-DRB1	MAP4K3	TNFAIP3	PARP14	TUBB1	TRAC
DYSF	MARCH1	MTSS1	ANKRD28	WDR74	HLA-DQA1	MALT1	CCL3	IFIT3	SDPR	SKAP1
CYP1B1	SCLT1	NAP1L1	ANTXR2	SUPT5H	CD74	FNDC3A	CCL3L3	IFI44	GNG11	CAMK4
VCAN	ZBTB20	RPS19	AHNAK	PDE4C	CST3	PPARG	CD83	IFI44L	CLU	IL32
MEGF9	F13A1	MS4A7	SGMS2	PPM1N	HLA-DQB1	DOCK4	CXCL8	IFIT1	CCL5	TC2N
MNDA	CAMK2D	SETBP1	CD99	FBXL18	HLA-DRB5	GAB2	CCL4	HERC5	NRGN	CD96
PADI4	NRG1	RHOC	VIM	RTN2	HLA-DMA	SIPA1L1	IRAK2	IFIT2	PF4V1	ETS1
TSPO	FCHSD2	IFITM2	LRRFIP1	PLEKHG2	CLEC10A	SDC2	SOD2	RNF213	GP9	CD3G
RBP7	ANKRD44	PHTF2	WDR49	PTPN6	TMSB10	CD109	ICAM1	EIF2AK2	SPARC	IL7R
SELL	GNAQ	HES4	ANXA1	TCOF1	IFI30	SNX9	NFKBIZ	RSAD2	PRKAR2B	THEMIS
EMB	MEF2A	PAG1	MIR24-2	BTBD2	RPS18	ZNF331	CCL4L2	XAF1	TREML1	ITK
GCA	ELMO1	SNED1	EMP1	RAB44	RPL10	ITGAD	CXCL2	MX2	MYL9	CD2
HMGB2	PTEN	FMNL2	GAS7	IER2	PSME2	OXSR1	ZC3H12C	OAS3	CMTM5	SPOCK2
LRRK2	FMN1	LINC01272	RAB11FIP1	NEAT1	RPS27A	SPAG9	G0S2	CMPK2	ITGB3	CD27
METTL9	PCCA	FCER1G	S100A10	ZSWIM4	NPC2	HPCAL1	LCP2	SAMD9L	C6orf25	LEF1
ALOX5AP	SSH2	CD79B	MBNL1	C1orf228	RPL11	ITGAX	PLEK	OAS2	C2orf88	TRBC2
VNN2	TBC1D5	AIF1	ADGRE5	EMG1	RPS23	SH3BP5	DUSP2	LAP3	HIST1H2AC	RHOH
RAB27A	CPED1	PECAM1	PRKCG	GADD45B	RPS2	ACSL3	ZFP36	IFI6	ITGA2B	IKZF3
SLC2A3	LDLRAD4	DRAP1	DENND4A	PRKCG	RPL18A	ELL2	PDE4B	DDX58	PTCRA	PRKCQ
CR1	ARID1B	COTL1	DIAPH1	EFNA2	RPS8	ABCA1	NFAT5	TNFSF10	GRAP2	CD247
CDA	FTX	CKB	SAMHD1	TSPOAP1	FTL	MAP3K8	DENND5A	TRIM22	CTTN	LCK
SERPINB1	CPVL	LTB	RBM47	KIAA1683	RPL41	RCOR1	RELB	OASL	BEX3	RORA
FAM101B	RFX7	CYFIP2	AHR	JUN	RPL23A	PIK3R5	AQP9	STAT1	MMD	SYNE2
S100A6	ITGA4	CTSC	RFX3	RHOB	RPL13	CDK14	ARL5B	PNPT1	ACRBP	SLC38A1
MARC1	NOTCH2	PTPN13	KLF6	NFE2L3	RPL15	GPAT3	SMAD3	DDX60	SH3BGRL2	LIME1
ITGAM	S100Z	IFITM3	SLCO3A1	SPDYA	RPS16	LIMS1	ACSL1	GBP1	TMEM40	PYHIN1
ARHGAP24	GRK3	TBC1D8	CRIP1	SNX32	RPL7A	RABGEF1	REL	DDX60L	HRAT92	ZEB1
F5	IMMP2L	EVL	ESYT2	JUNB	RPS12	RNF152	IER3	LY6E	CLDN5	TRBC1
TALDO1	DENND1A	SPN	AGPAT4	NELFB	RPL18	GPR183	TANK	PARP9	RAB27B	OCIAD2
PCNX1	MAML3	RAP1GAP2	LMNA	IFRD1	RPS5	HBEGF	ACVR2A	APOL6	GNAZ	CD6
IPCEF1	PAN3	LYN	CORO1C	CADM4	RPLP0	CHSY1	EGR3	SAMD9	PDZK1IP1	TRAT1
FBXL5	SPIDR	SIGLEC10	EZR	NR4A1	GFRA2	SAMSN1	MIR155HG	SIGLEC1	PGRMC1	SCML4
QPCT	UTRN	MTPN	RAP1B	HOOK2	RPL3	MYO9B	EGR1	IFI16	LGALSL	CD28
FCN1	C10orf11	CCDC26	LDLR	RNASEH2A	RPL30	ZEB2	PNRC1	TMEM123	MMRN1	CARD11
BASP1	TTC17	NEURL1	LRRFIP2	IQCE	RPS3A	CD58	BTG2	ISG20	MYLK	CD8B
IRS2	AFF1	UTRN	MPP7	GLS	RPL10A	TUBB6	GCH1	SP110	BEND2	LINC00861
CTSD	UVRAG	EPS8	SIK3	CACNG7	TMSB4X	RAPH1	IER2	SMCHD1	MFAP3L	ICOS
CES1	SPECC1	CTSL	ARHGAP26	HIST1H2BD	TPT1	NRIP1	LINC00936	APOBEC3A	PDLIM1	GZMK
LYZ	SNX29	IL21R	TAGLN2	TULP2	RPL26	TET2	AHR	SPATS2L	TRIM58	GZMA
TMTC2	ITPR1	FAM117B	TTC7A	NXF1	NME2	NRIP3	HNRNPC	STAT2	HIST1H3H	SAMD3
VNN3	ARHGAP15	RRAS	IQGAP2	C5orf45	RPL9	IL1RAP	PPP1R15A	CXCL10	CALD1	TESPA1
BST1	EXOC4	ADA	ADAM17	FOXO3	RPL19	GNA12	PIM3	JAK2	MTURN	LBH
PGD	ARL15	CSF1R	RELL1	LINC01138	EEF1A1	FNIP1	BCL2A1	GBP5	DMTN	INPP4B
MCTP2	PHACTR2	PPM1L	TUBB6	FOS	RPL28	MAP2K1	BID	USP18	HIST1H2BJ	ANK3
PROK2	RUNX2	SPRED1	GPCPD1	MIDN	RPL32	TOP1	ZNF267	GBP4	RGS18	BACH2
TMEM170B	MDFIC	CSTB	TBC1D9	SNAPC1	RPL14	FOXO3	SRGN	CUL1	TLN1	KLRK1
SLC11A1	PIAS1	SOD1	HIPK3	GYS1	RPS14	RAPGEF1	BIRC3	PLSCR1	NCOA4	ITM2A
GAPDH	ERBIN	NACA	HIPK1	LRRC23	YBX1	RGCC	RIPK2	TNFSF13B	LINC00989	TGFBR3
ST6GALNAC3	MYCBP2	PTGES3	ZSWIM4	GALM	RPL29	CD44	ASTL	ZC3HAV1	PDGFA	ABCD2
NAIP	FKBP5	HEG1	PTAFR	RCC1	RPS6	NFAT5	CXCL3	GMPR	SPX	KLRB1
STK17B	RNF130	FAM26F	LRRC8B	ASTL	EEF1B2	BRAF	KLF6	UBE2L6	ENKUR	ZNF831
IVNS1ABP	ETV6	PFN1	SEPT11	BAIAP2	ACTB	MAMLD1	EGR2	IFIH1	FHL1	SLFN12L
MCEMP1	HDAC9	FAM126A	PELI2	POLG2	RPS25	RANBP2	NAMPT	TYMP	OST4	SIT1
SLCO4C1	TNRC6B	GRK3	PDE7B	MYLIP	RPL27A	EIF2AK3	TNIP1	MARCKS	NT5M	FCMR
CKAP4	AFF3	SYT17	MAP3K5	NUFIP2	RPS7	IRAK2	DMXL2	OAS1	C19orf33	RASGRP1
SYNE1	ATRN	TMTC1	RGCC	SIPA1L1	FPR3	ZFAND6	PRDM1	ZCCHC2	RGS10	AQP3
AGTPBP1	FAM135A	MBD2	DUSP6	SLC2A14	RPL5	SLC7A1	RASGEF1B	ADAR	CXCL5	GZMM
IGF2R	TBXAS1	ARAP2	HEATR5B	SQSTM1	RPL17	EML4	TNFAIP6	IFITM3	C12orf75	NFATC2
STEAP4	RFWD2	ITGAL	DAAM1	TRIM69	RPS27	ELF1	VOPP1	GBP2	PLA2G12A	DOCK9
SERPINB2	CELF2	ARPC2	LRRC8C	PABPC1	B2M	ATP1B3	PPIF	PARP12	CD9	NELL2
ACSL1	CCNY	CROCC2	CAPZA2	NR4A3	RPSA	ARL4C	CLIC4	WARS	MAP3K7CL	BICDL1
RTN3	ITFG1	NOL4L	FBXO34	TMEM107	RPL21	SPRED2	NFKBID	IFI35	ODC1	CXCR3
SAMSN1	SUMF1	PTP4A3	IL1RAP	RABGEF1	RPS15A	LINC01010	PTX3	SAMD4A	TAGLN2	ABLIM1
GLT1D1	PTK2	SNAPC3	CLIP4	CROCC	RPS3	EMP1	C15orf48	ATP10A	HBG2	NKG7
WLS	PDE7A	RNASET2	PRICKLE1	CDKN1A	RPL13A	GPRIN3	TRAF3	DTX3L	CTDSPL	SH2D1A
SPOCK1	EPB41L3	LYPD2	JMJD1C	PFKFB3	PLAC8	ARHGAP26	CCNL1	HERC6	LY6G6F	CD8A
TDRD9	HERC4	ABI3	FOXO1	HIST1H2BC	RPL6	CSNK1A1	PHLDA1	HELZ2	SMIM5	TOX
CSF3R	SCFD2	GPR174	SNX2	RIPK1	RPL35	PNPLA8	ZFP36L1	SP100	LCN2	SIRPG
ANPEP	FBXL17	UST	IL31RA	POLR2A	FAU	GPCPD1	TNF	MT2A	PTGS1	STAT4
FOS	ZNF609	CALML4	RPS6KA3	LSMEM1	RPS15	FAM102B	HIVEP1	PML	CD226	TSHZ2
ACTB	MTAP	CFD	RPS6KA5	C7orf61	RPL12	PHACTR1	IFNGR2	KIAA1958	TAL1	KCNQ5
FPR1	QKI	MYL6	ELF1	MKNK2	RPS4X	NDEL1	FTH1	ABTB2	RUFY1	TIGIT
NLRP12	MEF2C	LYST	TIPARP	ATP1B3	RPS13	EZR	NLRP3	BST2	ESAM	BEX2
MGST1	CAMKMT	CX3CR1	TRAK1	HIST2H2BF	RPS24	TLE4	MARCKS	IRF7	PPP1R14A	GNLY
MAP4K4	CAMK1D	LRRC25	FOSB	BOLA1	RPL27	CEP170	CHMP4B	RTCB	PVALB	NCALD
ADAM19	TRIO	CCM2	FAM102B	RGS2	HSPA8	ITGB1	UBE2E1	XRN1	PBX1	TRIB2
LBR	USP15	GUCY1A3	C16orf54	BRAT1	SASH1	CHD1	MIR222HG	RGL1	TNFSF4	CD40LG
IL17RA	SBF2	SGPP1	MCL1	SAT1	HLA-DOA	UBAP1	ANKRD28	NEXN	CLEC1B	PZP
CLEC4D	SLC2A9	BATF3	RAPGEF2	ITGB4	RPL34	ZBTB43	ALDH1A2	HSH2D	TRAPPC3L	PPP2R2B
MAPK14	PDE3B	SCRN1	JUND	KLRD1	TUBA1B	SGK1	B4GALT5	SLFN5	KIF2A	GPR171
THBS1	OSBPL1A	MALAT1	TSC22D3	GIPC1	HSP90AA1	B3GNT5	SLC39A8	TRIM5	TMSB4X	GZMH
ASAP1	TBC1D22A	B2M	RRP12	SPTAN1	RPS28	EEPD1	KDM6B	PPM1K	LTBP1	EPHA4
MPP7	GRB2	KLF3	ATP2B1	ELL2	LIPA	SMAD3	IL1A	CCL8	TUBA4A	GATA3
AGFG1	TET3	CKS1B	STT3B	DUSP1	RPS9	HAVCR2	AZIN1	SERPING1	JAM3	FAM46C
CD36	KANSL1	POU2F2	FAR2	ARF4	CALR	ANKRD11	TRAF1	BLVRA	TPM1	PATJ
