	1	2	3	4	5	6	7	8	9	10
A1BG	-0.0003265995113889	0.000137567471516	-9.987289068602188e-05	-0.000103620847267	-0.0002317144458282	0.0009416883826255	0.00041444467319	0.0001081986418158	0.0002003293239129	0.0001432515749859
A1CF	4.818449547558814e-05	5.617613757314873e-06	2.749577875020972e-05	-3.3873824833808696e-05	-3.707961719034205e-07	-0.0002058460119184	8.409461668395901e-05	-0.0001924665107954	-2.998262518395725e-05	-6.842058346269066e-05
A2M	-0.0006297158609781	0.0032695767317856	-0.0002214671029295	-0.0003995305584377	-0.0012257676427071	-0.0023510132618555	-0.0007268830781886	0.0004817028945352	-0.0003008570845644	0.0004860439765831
A2ML1	4.000693793603554e-05	-1.0838718973494291e-05	2.4250781748591533e-05	-1.700921340501343e-05	3.3583846735186246e-05	-0.0001420269806447	-6.295223902366714e-06	-6.311793941409621e-05	1.4301028905249814e-05	-0.0001558278902117
A3GALT2	5.003407314669941e-05	3.01997237873232e-05	3.963245983612584e-05	-5.636955428254836e-05	3.202637260340745e-05	-0.0004061665984029	2.3964470859272965e-05	0.0001147489149169	4.269286900973621e-05	-8.994627748675162e-05
A4GALT	1.9565369669396548e-05	-0.000112994304569	-2.5280048206567626e-05	-0.0001315864518639	-6.906486313528227e-05	-0.0001331030653311	0.0002305666428217	0.0002797606316105	0.0008283912891703	-3.908093565636521e-05
A4GNT	-4.171493379684069e-05	0.0001109840892177	-7.28326338306489e-05	0.0001542465666906	-4.443154795439512e-06	-0.0001353022281605	3.82684350918461e-05	-0.0001845806929671	-0.0001081796698688	-7.200529535915363e-06
AAAS	3.21062010388029e-05	-2.232869614381442e-05	-0.0001709851590467	2.524093443866393e-05	-1.9839905749351807e-05	0.0003310510055339	-5.381557690327453e-05	-0.0001342518508414	1.4924516096572443e-05	0.0004774890166984
AACS	-1.1007973508267057e-06	-3.987200689890984e-05	0.0001972116677413	5.748152388496912e-05	-3.0753438428671306e-05	-0.0004235772096777	0.0001977700566357	4.8739585468501935e-05	-6.31432450229746e-05	-0.000104958817051
AADAC	3.24719534390765e-05	-8.996475023681123e-05	0.0001921731696847	6.599899712975503e-05	-3.7203510134343353e-05	-0.000226475752066	-1.99127552401358e-05	-7.32217135865853e-05	-1.1910577585193684e-05	0.0002343240431993
