1	2	3	4	5	6	7	8	9	10
FNDC3B	A2M	TMEM2	TOX	CSGALNACT1	B2M	COTL1	FOS	INPP4B	NRGN
BNC2	PZP	ELL2	KCNQ5	KLRC2	TMSB4X	SPTSSB	JUN	IL7R	GP1BB
LINC01505	TC2N	ZNF331	GNAQ	CCL5	RPL10	SELL	DUSP1	IL1R1	PPBP
ZEB2	RASGRF2	CNOT6L	SFMBT2	MCOLN2	RPLP1	ZMAT4	KLF6	KIT	PF4
AK5	DPYD	CTPS1	CD38	LINC00944	ACTB	CD44	FOSB	ITM2C	SDPR
EIF4G3	IGF1R	POLR2A	RABGAP1L	GZMH	RPL41	GAB1	CD69	SPINK2	GNG11
MTSS1	AKT3	RCOR1	MIR181A1HG	FAM19A1	RPL7A	AFF3	PPP1R15A	ZBTB46	CLU
PPM1L	KLRG1	SYTL3	GRIK4	KLRC3	ACTG1	GZMK	NFKBIZ	LPAR1	TUBB1
CD247	PARP8	CNOT2	SLC4A4	VIM	RPS27A	MAML3	MAPRE2	IL2RA	SPARC
IGFBP7	AOAH	RNF125	HDAC9	CD3E	RPS14	NCAM1	TEX14	RCAN3	CMTM5
MIR646HG	PLCB1	PLEKHA2	LDB2	CD52	TPT1	BACH2	RAB11A	LTB	PDZK1IP1
RAP1GAP2	NR3C2	PIK3R1	AUTS2	PTMS	RPS18	TNFRSF11A	NFKBIA	SSBP2	HRAT92
DTHD1	CBLB	PDE4D	MKI67	CD3D	RPL13	RUNX2	MIR24-2	AFF3	TREML1
GSAP	SYTL2	CHD1	UBASH3B	MYO6	RPS2	PACSIN1	NFKB1	NEGR1	PTCRA
PRKCH	ITGA6	EML4	HELZ	SGCD	RPL32	FUT8	JUND	SCN9A	GP9
SPON2	CATSPERB	YES1	CERS6	CD3G	RPL30	PPP1R9A	RGCC	TOX2	PF4V1
HIPK2	SPOCK2	ATP1B3	TOX2	ABCD2	PFN1	STYK1	PMAIP1	DACH1	PVALB
CELF2	KLF12	ATP8A1	STK39	NTN4	NKG7	CAPG	IER2	KHDRBS2	CTTN
JAZF1	LDB2	NFKB1	CD96	CADM1	RPL19	CASK	DUSP10	STAC	PRKAR2B
DOCK5	SMAD3	IRS2	GUCY1A3	S100A6	RPL21	C10orf11	IFNG	RBMS3	F13A1
FAM49B	PITPNC1	INPP5A	SNTB1	MVB12B	FAU	SSBP2	BTG2	SRGAP3	SH3BGRL2
SETBP1	IL18RAP	TGFB1	SAMD3	RAP2A	RPS12	XCL1	YPEL5	LST1	PTGS1
GFOD1	ATM	FOXO1	DENND1B	EPB41L4A	RPS24	SCML1	SIK3	FAM30A	RGS18
VAV3	FAM65B	PRKX	IL12RB2	ITGB1	RPS6	FLNB	DENND4A	CCSER1	MYL9
PTPN12	MPP7	FYN	GLCCI1	PDE3B	RPL11	LEF1	CD83	CYP2E1	CD9
ZFAND3	PPP2R5C	ZSWIM6	MBNL1	AHNAK	RPL15	TIAM1	ZFP36	LPCAT2	MALL
MAN1A1	PAM	BTBD11	PRKCH	LGALS3	RPL28	IMMP2L	ATF3	PRKG1	CABP5
GNPTAB	SAMD3	CDK17	CENPF	HIST1H1E	TMSB10	ITGAX	H3F3B	COL24A1	CXCL5
INPP4A	KANSL1L	PITPNC1	CDK6	DAPK2	RPL23A	PVT1	NR4A2	CD200R1	CA2
CX3CR1	MBNL1	SMAP2	ZBTB16	FGL2	RPS7	CABLES1	CCL3	MSRB3	ACRBP
LYN	ADK	JUNB	HIP1	LAG3	RPS3	ZEB1	NR4A3	RUNX2	LGALSL
CD38	OXNAD1	CHKA	ITGA4	LILRB1	RPL26	ATP8B4	LINC00910	TIAM1	TMEM158
SORBS2	HIVEP2	GNG2	ATP8B4	KLRC4	RPL17	IGFBP4	TNFAIP3	SOX4	BEND2
NFATC2	COLQ	PELI2	IGF2BP2	PCNX2	RPL29	TCF7	RHOH	FXYD7	TAL1
UTRN	MYBL1	MAP3K8	IKZF2	ZEB2	EEF1A1	TEC	MYADM	PLCB4	ITGB3
FGFBP2	DOCK9	TLE1	ADAMTS17	HPGD	RPL6	MAML2	LINC00854	RASSF8	TMEM40
SRPK2	FOXP1	RAB8B	MCUB	IL32	RPS28	GNAQ	EZH2	MGAT5	CLDN5
UVRAG	UST	SLC38A1	UTRN	ZNF365	RPL18	GPR183	CCNL1	AHR	BEX3
SYNE1	ZBTB20	PPP1R16B	IKZF3	ATXN1	RPS23	PTK2	RASGEF1B	MDFIC	PGRMC1
SKAP1	SVIL	EZH2	BAZ2B	ZNF683	RPS15	RPS6KA2	LMNA	GNAI1	C6orf25
PPP2R2B	ATXN1	BRD1	KIAA0922	TRPC3	RPS8	KIF26B	IER5	PCDH9	LAMP5
SLCO4C1	SSH2	NR4A2	MCTP2	RGS9	RPS27	IL12RB2	RGS1	BICC1	LINC00989
ATP10A	PCAT1	BCR	CD160	SAMSN1	RPL3	CCR7	RELB	PTH2	FTH1
NCAM1	SGMS1	IFRD1	TCF4	TMEM244	RPS15A	NELL2	ARID4B	FAAH2	SUCNR1
FRY	LINGO2	DUSP2	USP6NL	IFNLR1	RPL18A	IL7R	MLF1	EEPD1	TSPAN33
CARD11	LINC00987	MARCH3	E2F3	SYNE2	RPL39	PATJ	CCDC173	CLNK	NCOA4
STK39	CD96	RASA3	FAM49B	TPRG1	RPS3A	ZNF521	ANXA1	KCNK17	SNN
GK5	ZSWIM5	P2RY8	NCOA1	SERPINB9	RPLP2	KLRC1	MCL1	MTCL1	BMP6
ST8SIA6	PATJ	SIPA1L1	CELF2	S100A4	RPL12	TPT1	IFRD1	TMEM123	SMIM5
