	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36
A1BG	-0.0007215108621127	-0.0001713121974808	0.0001588416261047	0.0002420820105301	0.001034435887871	0.0010277054766457	-0.0002218132413696	-0.0001954701930868	-1.036808303921501e-05	-0.000223576021042	-0.0005465654487284	-0.0003432004206601	-7.156627791052395e-05	-0.0001107409735411	-0.0004411801294063	0.0001840065899904	0.0002834199905905	-0.0001731601945009	0.001039961149627	5.815545032362461e-05	1.7645353260740428e-05	0.0001447324469225	-0.0004802491058381	-0.0003766713104515	-0.0004096435419964	-2.2219275267145204e-05	2.5234625475463692e-05	-1.2773903676144082e-05	0.0003470560507626	0.0002348069192824	-8.00667881166817e-05	2.4413154353091237e-05	0.0001195599340172	0.0011148559718581	-0.000339923968372	0.0002001056266671
A1CF	3.6145924204994565e-05	-0.0001467839219638	4.3625224809797415e-05	0.0001411257726461	-0.0003788891589659	4.2242576632844026e-05	9.95800048200604e-05	-6.39954961744924e-05	0.0001053125670883	5.440820766946502e-06	9.946217870596896e-05	6.984812907430437e-05	-1.4124170823198928e-05	1.0820202164358475e-05	-0.0001412142654309	8.679887707097923e-06	-1.5930267519370986e-05	-4.897808695768617e-05	-8.922710704005366e-05	0.0002193365695552	-0.0001625060267183	2.2218850297926185e-05	2.8575771925932463e-05	3.73097444422193e-05	-0.0001425806291255	0.0003105573234878	2.685695419037457e-05	0.000114408192596	2.7644364329494787e-05	0.0001346218821733	-1.010108348673542e-05	-0.0001618408800721	-2.192763496119015e-05	-3.147289939208728e-05	0.0006014530165415	0.000185303192402
A2M	0.0001125027979196	-0.0014464276094828	0.0010022592447892	-0.0007259667265342	-0.0048291171293855	-0.0006141098183241	-0.0004383370184547	-0.0005256221744587	0.000737673655816	0.0002195532082289	-0.0002506340661998	0.0038022807909679	0.0011971694069989	0.003362991232819	-0.0016626657141185	-0.0007719826162004	-0.000680824222251	0.0003065508491748	-0.0012734088707792	0.0033542487660588	0.0010598454000065	-0.0005271192439536	-1.181999063067313e-05	0.0019835919360034	0.0056709001787534	-0.0001166447511556	-0.0003914607608745	0.0013600840973345	0.0004535703113238	-0.0010204234756044	-0.0008830703611916	-0.0008601438717704	-0.0001843724002893	-0.0004526157362675	-8.072078892329187e-05	-0.0004185527865534
A2ML1	-8.800598275357101e-05	-0.0001027751279693	6.341363063476786e-05	5.081615580405434e-05	-0.0001909938850503	2.6669069309025843e-05	0.0001019993504925	-2.3760330446632527e-05	8.204364925423258e-06	3.859782448362083e-05	9.819336252754163e-06	4.7537479597837216e-05	6.187390234924142e-05	-2.545403121702845e-06	-7.940977943451244e-06	6.474463547411634e-05	4.822485294039565e-05	5.93931632486516e-05	3.017035773644658e-05	-5.2701197147420766e-05	0.0001462651455795	5.583464318121752e-05	0.0001835241916836	-0.0001130249576837	5.184361783247373e-05	-0.000156879477021	-1.648244287844009e-05	-0.0002523231282164	9.180920710584024e-06	0.0001526128335702	0.0002788493491969	-0.0001665903066392	4.708836716503314e-05	-5.022432517512957e-05	-5.228569955864104e-05	-4.291203263797385e-05
A3GALT2	9.076101388354292e-06	7.696564344801558e-06	-5.837835548296613e-06	-5.936342226789346e-05	-0.0005737457218686	3.468991049125217e-05	-1.8056380952507025e-05	0.0001075323214142	-2.5803751532691625e-05	8.183890081874394e-05	7.429919150984039e-05	0.0001448391078701	4.496426252889845e-05	2.301278594635004e-05	-0.0001166705702768	8.371739668342974e-05	-0.0001633638910984	8.947149166550278e-05	0.0002268291660642	-9.838588586758752e-05	9.73256208416144e-05	4.988269566826745e-05	-6.680860162732884e-05	3.60306892037124e-05	0.0001466145859093	0.0002312099344746	2.6204690226838655e-05	0.0003836409763026	0.0001249537702325	0.0001861653069231	-5.182481369528259e-05	-0.0001507574338438	-0.0002099547972212	0.0001338215649613	-5.843467072488536e-05	-4.05696198943364e-05
A4GALT	2.704450438188709e-05	5.178007417725939e-05	-8.52383246829348e-05	5.980893014421605e-05	-0.0001819224895336	-1.889324066406844e-05	7.69263014447499e-05	-8.177497908112945e-05	-5.746206042223165e-06	2.280098170321187e-05	2.027002456621444e-05	-2.6842692842190004e-05	4.780125007259906e-07	-4.265752775292094e-06	-4.086518907354565e-05	-6.39548258965599e-05	-1.996566142635732e-05	-4.980596048660204e-05	0.0001453158435516	1.9602208379034917e-05	2.1224786893830663e-05	-1.3690340894376556e-05	-2.370543006328907e-05	8.969460335030872e-05	-3.142676812194442e-06	0.0003006953040762	8.245085710474823e-05	-6.302816958531353e-05	-8.766609451270945e-05	0.0001613028328466	-0.000104357778197	4.4844829502971024e-05	-6.302687710072312e-05	-0.0001228725931654	-5.152114906008621e-05	-8.259889398954754e-05
A4GNT	-1.3304123047330204e-05	5.314062120965409e-05	8.863162612790643e-05	3.5205390019299184e-06	-0.0001015874747497	-2.0218609757578768e-05	-6.996295066602353e-05	8.361245439919145e-06	-1.721104900581378e-05	-3.221465392878126e-05	1.4175039316067922e-05	5.525743319910478e-06	-3.353229938501094e-06	-1.2477132007426895e-05	-3.982759242263127e-05	-1.4197484621978316e-05	-3.587103455787403e-05	-3.814057051324633e-05	1.1536915549150968e-05	9.725236450641428e-05	-6.836849223323343e-05	-8.265258740563997e-05	0.0003660798178031	-1.2413166752933284e-05	-5.035407569579116e-05	-0.0001281920769688	-1.4074988697573723e-05	1.1295339252792694e-06	-2.3651935135450437e-05	-9.64476588292694e-05	0.0003023039096461	-3.5324182328915776e-05	-9.585011515152271e-06	-2.2467803759760063e-05	-7.648623912556132e-06	-5.395752650920699e-06
AAAS	-8.419854329350384e-05	0.0001490816835578	0.0001785567473322	-3.1028547128100504e-05	0.000314112452544	-9.808080044719434e-05	-0.00011185055335	-0.0002076376230152	-0.0001493057221124	-0.0002590896399178	-5.881507209938142e-05	-0.0001000598478535	-6.84254209265873e-05	-2.945622844197944e-05	0.0001329580190521	-8.975387754923833e-06	6.586749415992389e-05	-8.8661419082668e-06	1.1298192372157105e-06	0.0001396207158004	-2.8824345752071403e-05	4.2579739322392586e-05	-3.641120120747206e-05	4.289933736140416e-05	0.0001149061076482	8.829558115502991e-05	9.248173637066349e-05	0.0001452394992469	3.482152752079405e-05	0.0002337820864343	-0.0002152120703997	-3.601874343356381e-05	-7.334181989190428e-05	-0.0004450609744097	-0.0002080295993842	-0.0002041923745644
AACS	2.7863935749892148e-05	6.062528011915601e-05	0.0001735403928963	0.0001763904368664	-0.0010126147287461	1.4665374536378388e-05	-5.455767785898028e-05	1.1435110977640368e-05	4.2039574236620665e-05	0.0003485801015498	3.901091811495872e-05	0.0001594005433953	-4.605003788865136e-05	8.098201528593675e-05	-4.204323814027417e-05	-0.0001126332407638	-1.7765166562239665e-05	0.0001225574489011	-9.10044465029463e-05	-1.869125338819895e-06	-0.0001711066708096	-8.373160931760344e-05	-6.12285840681267e-05	-9.68431781397346e-05	5.3320738910322304e-05	0.0006343370322416	-4.85217391512485e-05	1.7830763745914097e-05	-3.606815194935034e-05	-0.0001736680721822	0.0002325068470498	2.192952865618806e-05	-0.0002930167306928	0.0002542057906784	-0.0003161754906367	-0.0001267866760358
AADAC	0.0002009673721278	-2.4710877441881006e-05	-6.648636197385088e-05	-0.0001541323319408	-0.0003043059107424	6.414201346304343e-05	0.0002204923211919	-0.000112327896081	9.459860796294124e-05	2.647989566418228e-05	-0.0001186992358534	4.492189501874544e-05	-1.1430894560356548e-05	-1.8542303438343733e-05	7.455876202454482e-05	7.961833055687068e-05	-6.82353570650104e-05	0.000116355025943	2.7297124736824947e-05	-4.4284093966590014e-05	-0.0001048463071745	-1.193655036932279e-05	8.29580178890513e-05	-3.366657769162144e-05	-5.111588717777671e-05	3.396410335570338e-06	5.018318385556903e-05	7.113582066229686e-05	-6.44268743585915e-05	0.000280613159067	-0.0002928904845306	3.1960126482641186e-05	-7.493414328896747e-05	-0.0001304923216957	-3.647276876588565e-05	-6.003443510322706e-05
