1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36
MAML2	MALAT1	ACTB	SORCS3	RPS12	PTPRK	SESN3	BCL2	INPP4B	ZNF331	ST8SIA1	SGCD	ITGA1	SLC4A10	FGFBP2	PTPN13	SOX4	SEMA5A	LGALS1	GZMK	DENND4A	C15orf53	RBMS3	CR1	TRDC	CMSS1	PTPN3	HIST1H2BC	KLRC3	FOS	IFI44L	KIAA0101	NRGN	S100A9	HBA1	HBG2
CAMK4	ZBTB20	SKAP1	NBEA	EEF1A1	NELL2	TSHZ2	CDK6	FMN1	ELL2	SLC9A9	C1orf21	PARP8	ME1	GZMH	CCR6	CASC15	SNED1	LMNA	CMC1	RAB11A	FANK1	FAM19A2	ADAM23	TRGC1	FILIP1L	SESTD1	HIST1H2AC	KLRC2	FOSB	MX1	MKI67	GP1BB	LYZ	HBB	HBG1
PLCL1	MYO9A	SVIL	SUGCT	RPS18	CD8B	LDLRAD4	FAM13A	MYO16	CNOT6L	LIMS1	ZEB2	ITGA4	KLRB1	GZMB	MAF	PARD3	GATA3	CCR10	CCL5	ATP2B1	TSHR	FCRL1	ZNF462	KLRC1	MTHFD1L	COL19A1	HIST1H2BJ	KLRF1	JUN	IFI6	BIRC5	PPBP	S100A8	HBA2	SELENBP1
FOXP1	MAN1A2	RUNX1	PTK2	RPL13	NRCAM	PDE7B	EDA	FAAH2	NR4A2	PRKCB	TGFBR3	LYAR	ADAM12	NKG7	RORA	DACH1	TNFRSF11A	S100A10	DUSP2	ANXA1	STAM	RTKN2	TMEM178B	GNLY	SCFD2	CAV1	HIST1H2BG	BNC2	EGR1	IFIT3	HLA-DRA	SDPR	VCAN	HBD	AHSP
CERS6	ZEB1	CAMK1D	PLAG1	RPL10	THEMIS	PDE4D	MBNL1	EPHA4	NFKB1	NEAT1	SYNE1	IL7R	CEBPD	CX3CR1	FRY	CACHD1	KRT1	AIRE	CD74	ADGRE5	FOXP3	IKZF2	MTUS2	HOPX	NLN	MYB	HIST1H2BD	IKZF2	DUSP1	ISG15	ACTG1	PF4	FCN1	HBM	ALAS2
CSGALNACT1	SCAPER	TET3	MIR99AHG	RPL11	KLRK1	GPR155	FHIT	CDC14A	JUNB	TOX	PRKCH	TPRG1	PHACTR2	PRF1	MCF2L2	ARHGAP32	GAB2	C15orf53	HLA-DRB1	RFX3	DUSP4	FCRL3	PLXNA4	IL18RAP	DDX10	C11orf44	HIST2H2BF	TYROBP	IER2	EPSTI1	TROAP	GNG11	MNDA	AHSP	SNCA
IL6ST	ALMS1	ACTG1	MAN2A1	RPLP1	ROBO1	FAM184A	DOCK10	ARHGAP15	EML4	SMC4	AGAP1	SMAD3	PLCB1	ADGRG1	IL1R1	TOX2	PTGDR2	LGALS3	GZMA	KLF6	CTLA4	TIGIT	DST	KLRD1	ACACA	FXYD2	HIST1H1C	AOAH	TEX14	RSAD2	CENPF	TUBB1	CST3	SELENBP1	HBB
AK5	STXBP5	AHCYL2	KIAA2022	TPT1	PDE3B	IRF4	PCED1B	PAG1	RNF125	ITGA4	PPP2R2B	NCALD	ZBTB16	ASCL2	MAPK10	PDE7B	CDO1	ANXA2	HLA-DPB1	SIK3	IL2RA	CDK14	SASH1	TYROBP	ADK	LYST	HIST1H1E	LYN	RTN2	STAT1	HLA-DRB5	SPARC	C10orf11	ACKR1	HBA1
BACH2	MAPK8	SNTB1	PARK2	RPS3	S100B	AP3M2	ARID5B	TTC39C	NR4A3	ICOS	RABGAP1L	CCR9	NCR3	EFHD2	HLF	MCTP1	EDN3	TBXAS1	HLA-DPA1	RFX2	ENTPD1	CLNK	GREM2	ATP8B4	TAF4B	TMEM155	HIST1H1D	NCAM1	CD69	XAF1	ACTB	PF4V1	IFI30	SNCA	HBD
TGFBR2	DPYD	TLDC1	WWC2	RPL32	RUNX2	ATP10A	MLLT3	MDFIC	RELB	GRAMD1B	AOAH	MGAT5	TLE1	CST7	PHTF2	TCF12	USP46	LONRF2	CST7	CDC14A	IKZF2	GRIK1	FRY	CD300A	UBE3D	IL19	IER2	PDGFD	KLF6	IFI44	GAPDH	GP9	S100A12	ALAS2	GYPB
LEF1	NDUFAF2	PDE7A	ZSWIM5	RPS27A	APBA2	CD38	MDFIC	ANK3	TNFAIP3	NETO2	A2M	GFPT2	COLQ	FCGR3A	PDE4D	MIR181A1HG	ADAM19	CRIP1	CCL4	MYADM	TTN	BACH1	COL24A1	ITGAM	PVT1	DTHD1	GADD45B	NCR1	PRKCG	IFIT1	HLA-DRB1	TREML1	SLC8A1	CA1	CA1
PCSK5	TBCK	TPD52	ZFYVE9	RPS2	ATP8A1	TTN	RNF157	NR3C1	RAB8B	ATXN1	ARHGAP26	ARHGAP15	IL23R	PRSS23	MAP3K4	BCL11A	FAM129A	KIAA0825	XCL2	RPGR	ST8SIA6	NEBL	CFH	KLRG1	CEP83	AFF3	POLR2A	ARHGAP42	ZFP36	OAS1	COTL1	RGS18	MS4A6A	PDZK1IP1	PAGE2B
PACS1	LCORL	THEMIS	ZC3H12B	RPS14	CD8A	PELI1	TAB2	ACVR2A	NAMPT	FUT8	MCTP2	CBLB	LINC00299	SPON2	CASR	NREP	ERN1	S100A4	CCL4L2	WDFY2	CDHR3	IL2RA	ALOX5	MAP3K8	GMDS	HMOX1	HIST2H2BE	CD160	JUNB	EIF2AK2	LGALS1	CMTM5	CD14	HBG2	HBA2
PRKCA	COMMD10	RAP1GAP2	ST6GALNAC3	RPS8	YBX3	SNX9	CA6	TRIM2	ATP1B3	EZH2	JAZF1	PLCB1	IL18RAP	LAIR2	KAT2B	TENM1	RUNX2	FGF14	HLA-DQA1	RPS6KA5	HPGD	USP15	NEFL	GAS7	NARS2	CREB5	ASTL	DGKK	LINC00910	OAS3	MT1E	MYL9	WDFY3	HBG1	SYCE3
ZNF609	COG6	ASAP1	SBF2	RPL19	NT5E	ANK3	PIM1	HNRNPLL	SNX9	TMEM156	ATP8A1	ARAP2	AGAP1	PLEK	COL5A3	MME	CADM1	VIM	LYST	CRIP1	SGMS1	STAM	ANK1	DUSP2	TMEM241	NCOA1	LINC00910	EFNA5	ERCC1	IFIT2	TMSB10	PRKAR2B	CYBB	SLC4A1	SLC4A1
RNF175	P2RY8	CARD11	SLC16A10	RPL3	TGFBR2	MARCH3	DPP4	SLC9A9	PABPC1	MAN2A1	AGPAT4	CD226	PLD1	GZMA	CTSH	AFF2	SUSD4	S100A6	LYAR	RGCC	TOX	HACD1	MYO16	IL12RB2	ATP8B1	LINC00423	HIST1H3J	CTBP2	PPP1R15A	CMPK2	CD74	F13A1	CSF3R	SPTA1	SRGAP3-AS4
FHIT	ZNF654	ERC1	SPATA6L	RPS15A	CRTAM	RAPGEF6	CISH	CMTM8	PPP1R16B	ARAP2	PIP4K2A	ARHGEF12	ABCB1	SH3BGRL3	TANC1	TCF4	ACVR2A	S100A11	PLEK	AHNAK	HACD1	CASK	UST	PDGFD	SPATA5	PGM2L1	HIST1H2AG	SGCD	BTG2	SAMD9L	PFN1	ACRBP	ARHGAP24	MYL4	ENDOU
